Indicator Name,Year,Afghanistan,Australia,India,Nepal,Netherlands,New Zealand,Pakistan,United Kingdom,United States
Access to electricity (% of population),2007,38.44000244,100,72.3407135,52.64674377,100,100,80.23438263,100,100
Access to electricity (% of population),2008,42.4,100,74.11849213,55.95753098,100,100,81.35066986,100,100
Access to electricity (% of population),2009,48.27900696,100,75,59.28170395,100,100,82.48035431,100,100
Access to electricity (% of population),2010,42.7,100,76.3,68.6,100,100,87.12272644,100,100
Access to electricity (% of population),2011,43.22201891,100,79.51678467,67.26,100,100,87.83734131,100,100
Access to electricity (% of population),2012,69.1,100,79.9,75.21463013,100,100,88.56819916,100,100
Access to electricity (% of population),2013,68.0408783,100,83.13139343,77.44139099,100,100,89.33152008,100,100
Access to electricity (% of population),2014,89.5,100,85.13391113,84.9,100,100,90.13817596,100,100
Access to electricity (% of population),2015,71.5,100,88,82.01422882,100,100,90.9774704,100,100
Access to electricity (% of population),2016,97.7,100,89.58630371,90.7,100,100,91.83230591,100,100
Access to electricity (% of population),2017,97.7,100,91.79415894,86.62465668,100,100,92.661026,100,100
Access to electricity (% of population),2018,93.43087769,100,95.7,93.92,100,100,93.39749146,100,100
Access to electricity (% of population),2019,97.7,100,95.88594055,89.9,100,100,93.9,100,100
Access to electricity (% of population),2020,97.7,100,96.5,89.9,100,100,94.4852829,100,100
Access to electricity (% of population),2021,97.7,100,99.57252502,89.9,100,100,94.92285919,100,100
Agricultural irrigated land (% of total agricultural land),2007,5.939758401,0.482734643,34.93207883,25.42006721,10.55160886,4.431096022,53.03640352,0.783135944,5.548159947
Agricultural irrigated land (% of total agricultural land),2008,5.77856314,0.475483447,34.65011098,25.86705202,,,54.62577521,,5.409801795
Agricultural irrigated land (% of total agricultural land),2009,4.842282941,0.458287032,35.34164871,26.40096618,,,55.0500326,,
Agricultural irrigated land (% of total agricultural land),2010,5.000395601,0.48914372,34.49237914,29.73824527,7.31720344,,55.72895976,0.385508593,
Agricultural irrigated land (% of total agricultural land),2011,5.391006198,0.495555651,35.39878666,,,,51.95347284,,
